,area,item_code,item,element,year,unit,value_exp_qty
651,Argentina,44,Barley,Export Quantity,1961,tonnes,128684.0
652,Argentina,44,Barley,Export Quantity,1962,tonnes,178208.0
653,Argentina,44,Barley,Export Quantity,1963,tonnes,44942.0
654,Argentina,44,Barley,Export Quantity,1964,tonnes,535846.0
655,Argentina,44,Barley,Export Quantity,1965,tonnes,299816.0
656,Argentina,44,Barley,Export Quantity,1966,tonnes,114525.0
657,Argentina,44,Barley,Export Quantity,1967,tonnes,65115.0
658,Argentina,44,Barley,Export Quantity,1968,tonnes,181628.0
659,Argentina,44,Barley,Export Quantity,1969,tonnes,208454.0
660,Argentina,44,Barley,Export Quantity,1970,tonnes,91878.0
661,Argentina,44,Barley,Export Quantity,1971,tonnes,74823.0
662,Argentina,44,Barley,Export Quantity,1972,tonnes,89277.0
663,Argentina,44,Barley,Export Quantity,1973,tonnes,157618.0
664,Argentina,44,Barley,Export Quantity,1974,tonnes,108285.0
665,Argentina,44,Barley,Export Quantity,1975,tonnes,18038.0
666,Argentina,44,Barley,Export Quantity,1976,tonnes,35268.0
667,Argentina,44,Barley,Export Quantity,1977,tonnes,75380.0
668,Argentina,44,Barley,Export Quantity,1978,tonnes,14628.0
669,Argentina,44,Barley,Export Quantity,1979,tonnes,57571.0
670,Argentina,44,Barley,Export Quantity,1980,tonnes,43279.0
671,Argentina,44,Barley,Export Quantity,1981,tonnes,6006.0
672,Argentina,44,Barley,Export Quantity,1982,tonnes,1024.0
673,Argentina,44,Barley,Export Quantity,1983,tonnes,31412.0
674,Argentina,44,Barley,Export Quantity,1984,tonnes,18151.0
675,Argentina,44,Barley,Export Quantity,1985,tonnes,33998.0
676,Argentina,44,Barley,Export Quantity,1986,tonnes,560.0
677,Argentina,44,Barley,Export Quantity,1987,tonnes,12000.0
678,Argentina,44,Barley,Export Quantity,1988,tonnes,102764.0
679,Argentina,44,Barley,Export Quantity,1989,tonnes,104715.0
680,Argentina,44,Barley,Export Quantity,1990,tonnes,50134.0
681,Argentina,44,Barley,Export Quantity,1991,tonnes,52901.0
682,Argentina,44,Barley,Export Quantity,1992,tonnes,173347.0
683,Argentina,44,Barley,Export Quantity,1993,tonnes,120580.0
684,Argentina,44,Barley,Export Quantity,1994,tonnes,98725.0
685,Argentina,44,Barley,Export Quantity,1995,tonnes,22114.0
686,Argentina,44,Barley,Export Quantity,1996,tonnes,7364.0
687,Argentina,44,Barley,Export Quantity,1997,tonnes,228767.0
688,Argentina,44,Barley,Export Quantity,1998,tonnes,138433.0
689,Argentina,44,Barley,Export Quantity,1999,tonnes,125637.0
690,Argentina,44,Barley,Export Quantity,2000,tonnes,36926.56
691,Argentina,44,Barley,Export Quantity,2001,tonnes,201329.0
692,Argentina,44,Barley,Export Quantity,2002,tonnes,112898.0
693,Argentina,44,Barley,Export Quantity,2003,tonnes,66150.0
694,Argentina,44,Barley,Export Quantity,2004,tonnes,196665.0
695,Argentina,44,Barley,Export Quantity,2005,tonnes,325359.0
696,Argentina,44,Barley,Export Quantity,2006,tonnes,389707.0
697,Argentina,44,Barley,Export Quantity,2007,tonnes,523179.0
698,Argentina,44,Barley,Export Quantity,2008,tonnes,960090.0
699,Argentina,44,Barley,Export Quantity,2009,tonnes,1011887.0
700,Argentina,44,Barley,Export Quantity,2010,tonnes,535794.0
701,Argentina,44,Barley,Export Quantity,2011,tonnes,2149148.0
702,Argentina,44,Barley,Export Quantity,2012,tonnes,3448276.0
703,Argentina,44,Barley,Export Quantity,2013,tonnes,3359576.0
704,Argentina,44,Barley,Export Quantity,2014,tonnes,2730127.0
705,Argentina,44,Barley,Export Quantity,2015,tonnes,1541983.0
706,Argentina,44,Barley,Export Quantity,2016,tonnes,3227439.0
707,Argentina,44,Barley,Export Quantity,2017,tonnes,2564500.0
708,Argentina,44,Barley,Export Quantity,2018,tonnes,2587696.0
709,Argentina,44,Barley,Export Quantity,2019,tonnes,2517497.0
710,Argentina,44,Barley,Export Quantity,2020,tonnes,2233130.0
711,Argentina,56,Maize (corn),Export Quantity,1961,tonnes,1730146.0
712,Argentina,56,Maize (corn),Export Quantity,1962,tonnes,2931028.0
713,Argentina,56,Maize (corn),Export Quantity,1963,tonnes,2447080.0
714,Argentina,56,Maize (corn),Export Quantity,1964,tonnes,3339296.0
715,Argentina,56,Maize (corn),Export Quantity,1965,tonnes,2802317.0
716,Argentina,56,Maize (corn),Export Quantity,1966,tonnes,3751533.0
717,Argentina,56,Maize (corn),Export Quantity,1967,tonnes,4317988.0
718,Argentina,56,Maize (corn),Export Quantity,1968,tonnes,2892697.0
719,Argentina,56,Maize (corn),Export Quantity,1969,tonnes,4024197.0
720,Argentina,56,Maize (corn),Export Quantity,1970,tonnes,5232847.0
721,Argentina,56,Maize (corn),Export Quantity,1971,tonnes,6128393.0
722,Argentina,56,Maize (corn),Export Quantity,1972,tonnes,3005182.0
723,Argentina,56,Maize (corn),Export Quantity,1973,tonnes,4032708.0
724,Argentina,56,Maize (corn),Export Quantity,1974,tonnes,5524632.0
725,Argentina,56,Maize (corn),Export Quantity,1975,tonnes,3886982.0
726,Argentina,56,Maize (corn),Export Quantity,1976,tonnes,3080350.0
727,Argentina,56,Maize (corn),Export Quantity,1977,tonnes,5430728.0
728,Argentina,56,Maize (corn),Export Quantity,1978,tonnes,5895312.0
729,Argentina,56,Maize (corn),Export Quantity,1979,tonnes,5960462.0
730,Argentina,56,Maize (corn),Export Quantity,1980,tonnes,3480770.0
731,Argentina,56,Maize (corn),Export Quantity,1981,tonnes,9162730.0
732,Argentina,56,Maize (corn),Export Quantity,1982,tonnes,5225961.0
733,Argentina,56,Maize (corn),Export Quantity,1983,tonnes,6525437.0
734,Argentina,56,Maize (corn),Export Quantity,1984,tonnes,5518343.0
735,Argentina,56,Maize (corn),Export Quantity,1985,tonnes,7069304.0
736,Argentina,56,Maize (corn),Export Quantity,1986,tonnes,7410606.0
737,Argentina,56,Maize (corn),Export Quantity,1987,tonnes,3987324.0
738,Argentina,56,Maize (corn),Export Quantity,1988,tonnes,4216714.0
739,Argentina,56,Maize (corn),Export Quantity,1989,tonnes,1902568.0
740,Argentina,56,Maize (corn),Export Quantity,1990,tonnes,2997890.0
741,Argentina,56,Maize (corn),Export Quantity,1991,tonnes,3897726.0
742,Argentina,56,Maize (corn),Export Quantity,1992,tonnes,6092827.0
743,Argentina,56,Maize (corn),Export Quantity,1993,tonnes,4870801.0
744,Argentina,56,Maize (corn),Export Quantity,1994,tonnes,4153739.0
745,Argentina,56,Maize (corn),Export Quantity,1995,tonnes,6000873.0
746,Argentina,56,Maize (corn),Export Quantity,1996,tonnes,6424596.0
